KICKPROG,Kick-Start Algorithmic Thinking & Programming,KICKPROG
SUSHI,Running Sushi Einführungswoche,BLOCKWEEK
DIGITECH,Digital Technologies Fundamentals,DIGITECH
UX,User Experience Design & Engineering,USERINTERFACE
GAME,Game Design & Engineering,GAMEDESIGN
MATH1,Mathematics for Games and Computergraphics,MATH
STUPROT,Studio Physical Prototyping,STUPROT
COMGRAP,Computer Graphics & Computational Perception,COMGRAP
STUINFAE,Studio Information Aesthetics & Engineering,STUINFAE
STUINFAX,Studio Information Aesthetics & Engineering extended,STUINFAX
STUEMTEC,Studio Emerging Technologies,STUEMTEC
STUEMTEX,Studio Emerging Technologies extended,STUEMTE
STUPROTX,Studio Physical Prototyping extended,STUPROT
MATH2,Beautiful Mathematics,MATH
DEWEBMO,Development for Web & Mobile,MOBILE
STUWE1,Studio Web & Mobile Design,USERINTERFACE
STUUE1,Studio User Experience Design,STUUE
STUGA1,Studio Game Design,GAMEDESIGN
STUWE1X,Studio Web & Mobile Design extended,USERINTERFACE
STUUE1X,Studio User Experience Design extended,USERINTERFACE
STUGA1X,Studio Game Design extended,GAMEDESIGN
COMPPX,Computational Perception extended,COMPP
COMGRAPX,Computer Graphics extended,COMGRAP
GENCG,Generative Computer Graphics,GENCG
SOCPRO,Social Projekt Digital Ideation,SOCIAL
DMATHPRO,Diskrete Mathematik Pro,MATH
STUWE2,Studio Web&Mobile Design & Engineering 2,USERINTERFACE
STUUE2,Studio UX Design & Engineering 2,USERINTERFACE
STUGA2,Studio Game Design & Engineering 2,GAMEDESIGN
BHELP1,Bachelor Project Help,BACHELOR
BSTUDY,Bachelor Study,BACHELOR
INNO,Creative Entrepreneur & Corporate Innovation,INNO
BPROI,Bachelor Arbeit Fokus Informatik,BACHELOR
3DMOD4RT,3D Modellieren für Echtzeitanwendungen,3DMOD4RT
ABIZ,Algorithmic Business,ABIZ
ACBA,Accounting Basics,ACCOUNTING
ACMET,Academic Methods,ACMET
AD,Algorithmen & Datenstrukturen,AD
ADML,Advanced Machine Learning,MACHINELEARNING
ADPENTEST,Advanced Penetration Testing,SECURITY
ADRM,Advanced Risk Management,SECURITY
ADS,Algorithmen & Datenstrukturen ICS,ADS
AEDC1,Advanced English Diploma Course I,LANGUAGES
AEDC2,Advanced English Diploma Course II (IELTS),LANGUAGES
AEDC2IL,Advanced English Diploma Course II (IELTS),LANGUAGES
AEDCIT,Academic English IELTS Preparation,LANGUAGES
AEDCTO,Advanced English Diploma Course TOEFL Preparation,LANGUAGES
AGAMEDEV,Advanced Game Development,AGAMEDEV
AI,Artificial Intelligence,AI
AICH,AI Challenge,AICH
AIOT,Advanced Internet of Things,AIOT
AISO,Artificial Intelligence: Search & Optimization,AISO
AITEC,Advanced Internet Technologies,AITEC
ANCPH,Anglo-Saxon Culture,ANCPH
ANGCPH,Introduction to Anglo-Saxon Culture Politics & History,History
ANLIS,Analysis,MATH
ANLS,Analysis,MATH
APMAT,Applied Mathematics,MATH
APPE,Applikationsentwicklung,APPE
APPRE,Applied Entrepreneurship (Blockwoche),BLOCKWEEK
APP,App-Entwicklung für Einsteiger,APP
AR,Augmented Reality,AR
ARINT,Artificial Intelligence,ARINT
ASACPH,Introduction to Asia Culture Politics & History,History
ASCPH,Asia Culture,ASCPH
ASTA1,Applied Statistics 1,STATISTICS
ASTA2,Applied Statistics 2,STATISTICS
ASTAT,Applied Statistics for Data Science,ASTAT
BAA+INF,Bachelor Diplomarbeit Informatik,BACHELOR
BAA,Bachelorarbeit,BACHELOR
