Anlassnummer,Anlassbezeichnung
I.BA_102_KICKPROG.16,I.DI_Kick-Start Algorithmic Thinking & Programming
I.BA_110_SUSHI.16,I.DI_Running Sushi Einführungswoche
I.BA_111_DIGITECH.16,I.DI_Digital Technologies Fundamentals
I.BA_112_UX.16,I.DI_User Experience Design & Engineering
I.BA_113_GAME.20,I.DI_Game Design & Engineering
I.BA_123_MATH1.16,I.DI_Mathematics for Games and Computergraphics
I.BA_161_STUPROT.16,I.DI_Studio Physical Prototyping
I.BA_162_COMGRAP.16,I.DI_Computer Graphics & Computational Perception
I.BA_163_STUINFAE.16,I.DI_Studio Information Aesthetics & Engineering
I.BA_164_STUINFAX.18,I.DI_Studio Information Aesthetics & Engineering extended
I.BA_165_STUEMTEC.16,I.DI_Studio Emerging Technologies
I.BA_166_STUEMTEX.16,I.DI_Studio Emerging Technologies extended
I.BA_167_STUPROTX.16,I.DI_Studio Physical Prototyping extended
I.BA_172_MATH2.16,I.DI_Beautiful Mathematics
I.BA_173_DEWEBMO.16,I.DI_Development for Web & Mobile
I.BA_211_STUWE1.16,I.DI_Studio Web & Mobile Design
I.BA_212_STUUE1.16,I.DI_Studio User Experience Design
I.BA_213_STUGA1.16,I.DI_Studio Game Design
I.BA_214_STUWE1X.16,I.DI_Studio Web & Mobile Design extended
I.BA_215_STUUE1X.16,I.DI_Studio User Experience Design extended
I.BA_216_STUGA1X.16,I.DI_Studio Game Design extended
I.BA_218_COMPPX.18,I.Computational Perception extended
I.BA_219_COMGRAPX.16,I.DI_Computer Graphics extended
I.BA_222_GENCG.16,I.DI_Generative Computer Graphics
I.BA_223_SOCPRO.16,I.DI_Social Projekt Digital Ideation
I.BA_224_DMATHPRO.17,I.Diskrete Mathematik Pro
I.BA_261_STUWE2.16,I.DI_Studio Web&Mobile Design & Engineering 2
I.BA_262_STUUE2.16,I.DI_Studio UX Design & Engineering 2
I.BA_263_STUGA2.16,I.DI_Studio Game Design & Engineering 2
I.BA_291_BHELP1.20,I.DI_Bachelor Project Help
I.BA_311_BSTUDY.18,I.Bachelor Study
I.BA_331_INNO.18,I.Creative Entrepreneur & Corporate Innovation
I.BA_361_BPROI.18,I.Bachelor Arbeit Fokus Informatik
I.BA_3DMOD4RT.21,I.3D Modellieren für Echtzeitanwendungen
I.BA_ABIZ_E.21,I.Algorithmic Business
I.BA_ABIZ_K.21,I.Algorithmic Business
I.BA_ABIZ_MM.21,I.Algorithmic Business
I.BA_ACBA.16,I.Accounting Basics
I.BA_ACMET.19,I.Academic Methods
I.BA_AD.16,I.Algorithmen & Datenstrukturen
I.BA_ADML_E.21,I.Advanced Machine Learning
I.BA_ADML_K.21,I.Advanced Machine Learning
I.BA_ADML_MM.21,I.Advanced Machine Learning
I.BA_ADPENTEST.20,I.Advanced Penetration Testing
I.BA_ADRM.19,I.Advanced Risk Management
I.BA_ADS.19,I.Algorithmen & Datenstrukturen ICS
I.BA_AEDC1.20,I.Advanced English Diploma Course I
I.BA_AEDC1_E.18,I.Advanced English Diploma Course I
I.BA_AEDC1_K.18,I.Advanced English Diploma Course I
I.BA_AEDC1_MM.18,I.Advanced English Diploma Course I
I.BA_AEDC1_Z.18,I.Advanced English Diploma Course I
I.BA_AEDC2.19,I.Advanced English Diploma Course II (IELTS)
I.BA_AEDC2IL.19,I.Advanced English Diploma Course II (IELTS)
I.BA_AEDCIT.20,I.Academic English IELTS Preparation
I.BA_AEDCTO.20,I.Advanced English Diploma Course TOEFL Preparation
I.BA_AEDCTO_E.19,I.Advanced English Diploma Course II (TOEFL)
I.BA_AEDCTO_K.19,I.Advanced English Diploma Course II (TOEFL)
I.BA_AEDCTO_MM.19,I.Advanced English Diploma Course II (TOEFL)
I.BA_AEDCTO_Z.19,I.Advanced English Diploma Course II (TOEFL)
I.BA_AGAMEDEV.21,I.Advanced Game Development
I.BA_AI.16,I.Artificial Intelligence
I.BA_AICH.22,I.AI Challenge
I.BA_AIOT.19,I.Advanced Internet of Things
I.BA_AISO_E.17,I.Artificial Intelligence: Search & Optimization
I.BA_AISO_K.17,I.Artificial Intelligence: Search & Optimization
I.BA_AISO_MM.17,I.Artificial Intelligence: Search & Optimization
I.BA_AITEC.16,I.Advanced Internet Technologies
I.BA_ANCPH.20,"I.Anglo-Saxon Culture, Politics & History"
I.BA_ANCPH_K.19,"I.Anglo-Saxon Culture, Politics & History"
I.BA_ANCPH_MM.19,"I.Anglo-Saxon Culture, Politics & History"
I.BA_ANCPH_Z.19,"I.Anglo-Saxon Culture, Politics & History"
